Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
42011940600015;0382373Y;ASSOCIATION RESPONSABLE DU LYCEE PRIVE DU GUIERS VAL D AINAN;;82380439438;actif;responsable_formateur;10 Place du Marché 38480 Le Pont-de-Beauvoisin;Grenoble;Auvergne-Rhône-Alpes;Oui;agri|cfa_ec;agri|cfa_ec;;1;25/01/2022;0382373Y;0382373Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38881118400026;0071455U;AGUF VIVARAIS FORMATION;;82070016507;actif;formateur;111 Avenue du 8 Mai 1945 07300 Tournon-sur-Rhône;Grenoble;Auvergne-Rhône-Alpes;Non;agri;agri|cfa_ec;1;1;25/01/2022;0071455U;0071455U;0693764S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77639523800046;0422160V;CATHOLIQUE SCE JEUNESSE LYC RENOUVEAU;;82420241742;actif;responsable_formateur;Allée des Bois 42530 Saint-Genest-Lerpt;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;2;25/01/2022;0422160V;0422160V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34850953000013;0381805F;ORG GEST ETS CATHO PORTES CHARTREUSE;;;actif;formateur;Avenue de Stalingrad 38340 Voreppe;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;1;25/01/2022;0381805F;0381805F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77554827400080;0030105Y;OGEC SAINT JOSEPH;;;actif;formateur;150 Boulevard de Courtais 03100 Montluçon;Clermont-Ferrand;Auvergne-Rhône-Alpes;Non;;cfa_ec;2;1;25/01/2022;0030105Y;0030105Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77916143900053;0431000D;INSTITUT CATHOLSCIENCES VIE ET TERRE;;;actif;formateur;72 Avenue de Vals 43750 Vals-près-le-Puy;Clermont-Ferrand;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;3;25/01/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52980107800013;0740098E;ENSEIGNEMENT CATHOLIQUE DE SALLANCHES;;82740256674;actif;formateur;Ancienne route Imperiale 74700 Sallanches;Grenoble;Auvergne-Rhône-Alpes;Non;cfa_ec;cfa_ec;2;1;25/01/2022;0740098E;0693764S;0740098E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30284262000015;0421090G;ASS CATHOLIQUE ENSEIGNEMENT AGRICOLE FORMATION RURALE NANDAX;;;actif;inconnue;Chateau de Ressins 42720 Nandax;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;;25/01/2022;;0421090G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39900405000015;0121428M;OGEC LOUIS QUERBES-CHARLES CARNUS;;;actif;inconnue;11 Rue des Frères de Turenne 12000 Rodez;Toulouse;Occitanie;Non;;cfa_ec;1;;25/01/2022;0121428M;0121428M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34835568600133;0251021Z;OGEC  SAINT JOSEPH  SAINT PAUL;LYCEE GEN ET TECHNOL PRIVE ST PAUL;;actif;formateur;8 boulevard diderot 25000 Besançon;Besançon;Bourgogne-Franche-Comté;Non;;cfa_ec;3;2;25/01/2022;0251021Z;0251021Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
