Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
19133015800012;;LYCEE POLYVALENT PIERRE MENDES FRANCE;;;actif;formateur;Avenue Yitzhak Rabin 13127 Vitrolles;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;;25/01/2022;;0133015G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19840763700018;0840763Y;LYCEE PROFESSIONNEL ARGENSOL (QU DE L');LP;;actif;formateur;Rue Henri Dunant 84100 Orange;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;greta;greta;1;1;25/01/2022;0840763Y;0840763Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19840017800010;0840017M;LYCEE POLYVALENT DAUPHIN ISMAEL;;;actif;formateur;Rue Henri Fabre 84300 Cavaillon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;greta;greta;1;1;25/01/2022;0840017M;0840017M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19130048200012;0130048G;LYCEE POLYVALENT ST EXUPERY;;;actif;formateur;529 Chemin de la madrague ville 13015 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;1;25/01/2022;0130048G;0130048G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19040492100016;0040533H;LYCEE POLYVALENT LES ISCLES;;;actif;formateur;116 Avenue Regis Ryckebusch 04100 Manosque;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;1;25/01/2022;0040533H;0040533H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19490055100012;0490055U;LYCEE POLYVALENT SADI CARNOT - JEAN BERTIN - LYCEE DES METIERS;;;actif;formateur;25 Rue Marceau 49400 Saumur;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0490055U;0490055U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19850043100012;0850043K;LYCEE PROFESSIONNEL VALERE MATHE;;;actif;inconnue;26 Rue haute 85100 Les Sables-d'Olonne;Nantes;Pays de la Loire;Non;greta;greta;;;25/01/2022;;0850043K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19910676600017;0910676R;LYCEE POLYVALENT CLEMENT ADER;;;actif;formateur;37bis Rue G Anthonioz de Gaulle 91200 Athis-Mons;Versailles;Île-de-France;Non;;en_hors_murs;2;2;25/01/2022;0910676R;0910676R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19620162800050;0620162P;LYCEE DU PAYS DE SAINT OMER;;;actif;formateur;Avenue de Rome ( ZI du Brockus ) 62500 Saint-Omer;Lille;Hauts-de-France;Non;;en_hors_murs;1;1;25/01/2022;0620162P;0620162P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19620059600035;0620059C;LYCEE PROFESSIONNEL LEO LAGRANGE;;;actif;formateur;Rue Victor Schoelcher 62160 Bully-les-Mines;Lille;Hauts-de-France;Non;;en_hors_murs;1;1;25/01/2022;0620059C;0620059C;0624302P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
