Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;
77973955600016;0692706S;MAISON FAMILIALE RURALE EDUCAT & ORIENT;;82691178769;actif;responsable_formateur;Saint-Laurent-de-Chamousset;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;2;2021-12-17;0692706S;0692436Y;0692706S;
77970317200014;0692705R;ASS MAISONS FAMILIALES HAUTE AZERGUES;;82690081769;actif;responsable_formateur;route de panissière 69870 Lamure-sur-Azergues;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0692705R;0692436Y;0692705R;
78638426300012;0851307J;MAISON FAMIL RURALE EDUCATION ET ORIENTA;;52850135185;actif;responsable_formateur;4 Route de la roche 85480 Bournezeau;Nantes;Pays de la Loire;Oui;mfr;mfr;;1;2021-12-17;0851307J;0851307J;;
78401839200018;0623833E;MAISON FAMILIALE RURALE EDUCATION ORIENT;;31620051862;actif;responsable_formateur;Hucqueliers;Lille;Hauts-de-France;Oui;mfr;mfr;;;2021-12-17;0623833E;0623833E;;
78215842200025;0470818J;MFR VALLEE DU LOT CASTELMORON;;72470021947;actif;responsable_formateur;Allee de Comarque 47260 Castelmoron-sur-Lot;Bordeaux;Nouvelle-Aquitaine;Oui;mfr;mfr;1;1;2021-12-17;0470818J;0470818J;;
32252047900013;0550960V;MAISON FAMILIALE ET RURALE;;41550014855;actif;responsable_formateur;Rue des Lilas 55700 Stenay;Nancy-Metz;Grand Est;Oui;mfr;mfr;;2;2021-12-17;0550960V;0550960V;;
78338935600016;0550958T;MAISON FAMIL RURALE EDUC ORIEN;;41550046955;actif;responsable_formateur;Damvillers;Nancy-Metz;Grand Est;Oui;mfr;mfr;;2;2021-12-17;0550958T;0550958T;;
78341511000015;0550892W;ASS MAISONS FAMILIALES VIGNEULLES HATTON;;41550010455;actif;responsable_formateur;Rue du Château des 4 Vents 55210 Vigneulles-lès-Hattonchâtel;Nancy-Metz;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0550892W;0550892W;0551027T;
44893459600017;0741630V;MAISON FAMILIALE CHAMP MOLLIAZ;;82740232774;actif;responsable_formateur;261 Route de lossy 74380 Cranves-Sales;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;1;1;2021-12-17;0741630V;0741630V;;
30287992900016;0520901X;MAISON FAMILIALE RURALE EDUCATION ORIENT;;21520027552;actif;responsable_formateur;Rue Toupot de Beveaux 52270 Doulaincourt-Saucourt;Reims;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0520901X;0520901X;;
30234347000019;0511733G;MAISON FAMILIALE RURALE EDUCATION ORIENT;;44510200651;actif;responsable_formateur;Auve;Reims;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0511733G;0511733G;;
30286824500010;0511732F;MAISON FAMILIALE RURALE EDUCATION ORIENT;;21510123251;actif;responsable_formateur;66 Rue de la Croliere 51130 Blancs-Coteaux;Reims;Grand Est;Oui;mfr;mfr;1;1;2021-12-17;0511732F;0511732F;;
30287640400021;0511676V;MAISON FAMILIALE RURALE EDUCATION O;;21510125051;actif;responsable_formateur;19 Avenue Saint-Vincent 51130 Blancs-Coteaux;Reims;Grand Est;Oui;mfr;mfr;;2;2021-12-17;0511676V;0511676V;;
48388277500024;0492491S;ASS MAISON FAMILIALE RURALE SAILLERIE;;52490035249;actif;inconnue;2 Rue Pilastre 49100 Angers;Nantes;Pays de la Loire;Oui;;mfr;;;2021-12-17;0492491S;0492491S;;
32153880300024;0711453U;MAISON FAMILI RURAL CHAROLLAIS BRIONNAIS;;26710221271;actif;responsable_formateur;Anzy-le-Duc;Dijon;Bourgogne-Franche-Comté;Oui;mfr;mfr;;;2021-12-17;0711453U;0711453U;0711933R;
30021970600011;0460664X;MAISON FAMILIALE RURALE EDUCAT ORIENTAT;;76460054746;actif;responsable_formateur;Terrou;Toulouse;Occitanie;Oui;mfr;mfr;;1;2021-12-17;0460664X;0460664X;;
78189192400016;0332471G;MAISON FAMILIALE DU LIBOURNAIS;;72330480833;actif;responsable_formateur;Lieu Dit la Tour Blanche 33230 Les Églisottes-et-Chalaures;Bordeaux;Nouvelle-Aquitaine;Oui;mfr;mfr;;3;2021-12-17;0332471G;0332471G;;
78605070800019;0442614C;ASSO MAIS FAM RURALES;;52440581344;actif;responsable_formateur;Chemin de Bellevue 44360 Saint-Étienne-de-Montluc;Nantes;Pays de la Loire;Oui;;mfr;;;2021-12-17;0442614C;0441969B;0442614C;
31124794400011;0421859T;MAIS FAMIL RURAL EDUC ORIENT;;82420259742;actif;responsable_formateur;848 Route de Montbrison 42600 Mornand-en-Forez;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;2;2021-12-17;0421859T;0421859T;0692436Y;
