Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
34876850800031;0371790V;EXCELIA GROUP;;54170112617;actif;formateur;8 Rue Léo Delibes 37200 Tours;Orléans-Tours;Centre-Val de Loire;Oui;;cci;3;1;17/12/2021;0371790V;0171427J;
34876850800023;0451493D;EXCELIA GROUP;;54170112617;actif;formateur;17 Rue de Châteaudun 45000 Orléans;Orléans-Tours;Centre-Val de Loire;Oui;;cci;3;1;17/12/2021;0451493D;0171427J;
13001727000823;0754855V;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;CFA CCIR;11753201275;actif;responsable_formateur;27 Avenue de Friedland 75008 Paris;Paris;Île-de-France;Oui;;cci;48;2;17/12/2021;0754855V;0751477Y;
13000460900074;0490983C;CHAMBRE DE COMMERCE D INDUSTRIE DE MAINE LOIRE;ETS FORMATION SAUMUROIS;52490236949;actif;formateur;Avenue Balzac 49400 Saumur;Nantes;Pays de la Loire;Oui;;cci;3;1;17/12/2021;0490983C;0490983C;
13000460900066;0490984D;CHAMBRE DE COMMERCE D INDUSTRIE DE MAINE LOIRE;ETS FORMATION CHOLET;52490236949;actif;formateur;Rue Eugène Brémond 49300 Cholet;Nantes;Pays de la Loire;Oui;;cci;3;2;17/12/2021;0490984D;0490984D;
41370111100028;0762378X;ESIGELEC;;28760543976;actif;responsable_formateur;Avenue Galilée 76800 Saint-Étienne-du-Rouvray;Normandie;Normandie;Oui;;cci;;1;17/12/2021;0762378X;0762378X;
18882211800017;0881672P;CHAMBRE DE COMMERCE ET D INDUSTRIE DES VOSGES;;4188P002288;actif;responsable_formateur;10 Rue Claude Gelée 88000 Épinal;Nancy-Metz;Grand Est;Oui;;cci;;1;17/12/2021;0881672P;0881672P;
18974211700121;9740984B;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA REUNION;CCI REUNION-POLE FORMATION SUD;98970017797;actif;responsable_formateur;15 Chemin de la Balance 97410 Saint-Pierre;La Réunion;La Réunion;Oui;;cci;6;2;17/12/2021;9740984B;9740984B;
13001833600029;0411068N;INSTITUT NATIONAL DES SCIENCES APPLIQUEES CENTRE VAL DE LOIRE;;24180125618;actif;formateur;3 Rue de la Chocolaterie 41000 Blois;Orléans-Tours;Centre-Val de Loire;Oui;;cci;3;1;17/12/2021;0411068N;0411068N;
50538801700012;0690197P;EMLYON EXECUTIVE EDUCATION;;82691051069;actif;inconnue;23 Avenue Guy de Collongue 69130 Écully;Lyon;Auvergne-Rhône-Alpes;Oui;;cci;;;17/12/2021;0690197P;0421601M;
13001400400043;0071199R;CHAMBRE DE COMMERCE ET D INDUSTRIE DE L ARDECHE;CFA ANDRE FARGIER;82070078607;actif;responsable_formateur;640 Route de l’Aerodrome 07200 Lanas;Grenoble;Auvergne-Rhône-Alpes;Oui;;cci;1;1;17/12/2021;0071199R;0071199R;
13002271800519;0602213E;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION HAUTS-DE-FRANCE;CCIL OISE BEAUVAIS;32590928359;actif;formateur;18 Rue d'Allonne 60000 Beauvais;Amiens;Hauts-de-France;Oui;;cci;14;3;17/12/2021;0602213E;0601211R;
88488405700016;0141815X;ICEP;;28140345414;actif;responsable_formateur;1 Rue Rene Cassin 14280 Saint-Contest;Normandie;Normandie;Oui;cci;cci;;1;17/12/2021;0141815X;0141815X;
30587307700039;0400780F;ASSOCIATION REGIONALE DE FORMATION PROFESSIONNELLE DES INDUSTRIES DU BOIS;;72400001540;actif;responsable_formateur;24 Rue Henri Barbusse 40110 Morcenx-la-Nouvelle;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;;1;17/12/2021;0400780F;0400780F;
18640005700078;0641848L;CHAMBRE DE COMMERCE ET D'INDUSTRIE BAYONNE PAYS BASQUE;CENTRE CONSULAIRE DE FORMATION;7264P000464;actif;responsable_formateur;50 Allées Marines 64100 Bayonne;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;2;1;17/12/2021;0641848L;0641848L;
77921920300022;0631450J;ASS FORMAT PROFESS PERMANENTE;;83630024963;actif;responsable_formateur;14 rue du Château des Vergnes 63100 Clermont-Ferrand;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;cci|cma;cci|cma;1;1;17/12/2021;0631450J;0631450J;
83429535400031;0510088U;NEOMA BUSINESS SCHOOL;;28760567976;actif;formateur;59 rue Pierre Taittinger 51100 Reims;Reims;Grand Est;Oui;;cci;1;1;17/12/2021;0510088U;0510088U;
18870801000114;0870702R;CHCOMMERCE INDUSTRIE LIMOGES HTE VIENNE;CAMPUS CONSULAIRE;7487P000187;actif;responsable_formateur;11 rue Philippe Lebon 87280 Limoges;Limoges;Nouvelle-Aquitaine;Oui;;cci;;1;17/12/2021;0870702R;0870702R;
