MEF;DISPOSITIF_FORMATION;FORMATION_DIPLOME;DUREE_DISPOSITIF;ANNEE_DISPOSITIF;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;STATUT_MEF;NB_OPTION_OBLIGATOIRE;NB_OPTION_FACULTATIF;RENFORCEMENT_LANGUE;DUREE_PROJET;DUREE_STAGE;HORAIRE;MEF_INSCRIPTION_SCOLARITE;MEF_STAT_11;MEF_STAT_9;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;LIBELLE_EDITION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
2413220622;241;50032206;2;2;2CAP2 32206;2CAP2 REPORTEUR CONDUCTEUR LITHOGRAPHE;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23220032206;232200322;11/09/1997;BCNSCO6;02;2cap2 reporteur conducteur lithographe;2227;;;
2413220721;241;50032207;2;1;1CAP2 32207;1CAP2 IMPRIMEUR TAILL-DOUCE & TIMBRAGE;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032207;232100322;30/08/1996;BCNSCO6;02;1cap2 imprimeur taill-douce & timbrage;2228;;;
2413220722;241;50032207;2;2;2CAP2 32207;2CAP2 IMPRIMEUR TAILL-DOUCE & TIMBRAGE;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23220032207;232200322;11/09/1997;BCNSCO6;02;2cap2 imprimeur taill-douce & timbrage;2229;;;
2413220121;241;50032201;2;1;1CAP2 32201;1CAP2 IMPRIMEUR CLICHEUR SERIGRAPHE;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;23210032201;232100322;27/01/1995;OPS$BCNDEP8;02;1cap2 imprimeur clicheur serigraphe;2230;;;
2413220122;241;50032201;2;2;2CAP2 32201;2CAP2 IMPRIMEUR CLICHEUR SERIGRAPHE;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;23220032201;232200322;27/01/1995;OPS$BCNDEP8;02;2cap2 imprimeur clicheur serigraphe;2231;;;
2413220921;241;50032209;2;1;1CAP2 32209;1CAP2 COMPOSITION;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032209;232100322;30/08/1996;BCNSCO6;02;1cap2 composition;2232;;;
2413220922;241;50032209;2;2;2CAP2 32209;2CAP2 COMPOSITION;01/09/1992;31/08/1999;3;0;1;N;0;0;O;O;23220032209;232200322;08/10/1997;BCNSCO6;02;2cap2 composition;2233;;;
2413221021;241;50032210;2;1;1CAP2 32210;1CAP2 IMPRESSION;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032210;232100322;30/08/1996;BCNSCO6;02;1cap2 impression;2234;;;
2413221022;241;50032210;2;2;2CAP2 32210;2CAP2 IMPRESSION;01/09/1992;31/08/1999;3;0;1;N;0;0;O;O;23220032210;232200322;08/10/1997;BCNSCO6;02;2cap2 impression;2235;;;
2413230421;241;50032304;2;1;1CAP2 32304;1CAP2 PHOTOGRAPHE;01/09/1992;31/08/2000;3;0;1;N;0;0;O;O;23210032304;232100323;15/12/1999;BCNSCO6;02;1cap2 photographe;2236;;;
2542551622;254;45025516;2;2;2BP2  25516;2BP2   ELECTRICIEN(NE);01/09/2018;;3;0;;N;;;N;O;25120025516;251200255;27/02/2017;BCNSCO7;02;2bp2   électricien(ne);10770;;;
3113121321;311;32031213;2;1;1BTS2 31213;1BTS2  MANAGEMENT COMMERC. OPERATIONNEL;01/09/2019;;3;1;;N;;;O;O;32211031213;322110312;20/05/2019;BCNSCO7;02;1bts2 management commercial opérationnel;11374;;;
2413230422;241;50032304;2;2;2CAP2 32304;2CAP2 PHOTOGRAPHE;01/09/1992;31/08/2000;3;0;1;N;0;0;O;O;23220032304;232200323;15/12/1999;BCNSCO6;02;2cap2 photographe;2237;;;
2413230521;241;50032305;2;1;1CAP2 32305;1CAP2 PHOTOGRAPHE OP_B : RETOUCHE;01/09/1992;31/08/2000;3;0;1;N;0;0;O;O;23210032305;232100323;15/12/1999;BCNSCO6;02;1cap2 photographe op_b : retouche;2238;;;
2413230522;241;50032305;2;2;2CAP2 32305;2CAP2 PHOTOGRAPHE OP_B : RETOUCHE;01/09/1992;31/08/2001;3;0;1;N;0;0;O;O;23220032305;232200323;15/12/1999;BCNSCO6;02;2cap2 photographe op_b : retouche;2239;;;
2413221121;241;50032211;2;1;1CAP2 32211;1CAP2 SERIGRAPHIE;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032211;232100322;19/03/1997;BCNSCO6;02;1cap2 serigraphie;2240;;;
2413221122;241;50032211;2;2;2CAP2 32211;2CAP2 SERIGRAPHIE;01/09/1992;31/08/2000;3;0;1;N;0;0;O;O;23220032211;232200322;22/01/1999;BCNSCO6;02;2cap2 serigraphie;2241;;;
2413221221;241;50032212;2;1;1CAP2 32212;1CAP2 COMPOSITEUR IMPRI.METIERS GRAPHIQ;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032212;232100322;30/08/1996;BCNSCO6;02;1cap2 compositeur impri.metiers graphiq;2242;;;
2413221222;241;50032212;2;2;2CAP2 32212;2CAP2 COMPOSITEUR IMPRI.METIERS GRAPHIQ;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23220032212;232200322;11/09/1997;BCNSCO6;02;2cap2 compositeur impri.metiers graphiq;2243;;;
2413221321;241;50032213;2;1;1CAP2 32213;1CAP2 MONTEUR INCORPORATEUR COPISTE;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032213;232100322;30/08/1996;BCNSCO6;02;1cap2 monteur incorporateur copiste;2244;;;
2413221322;241;50032213;2;2;2CAP2 32213;2CAP2 MONTEUR INCORPORATEUR COPISTE;01/09/1992;31/08/1999;3;0;1;N;0;0;O;O;23220032213;232200322;08/10/1997;BCNSCO6;02;2cap2 monteur incorporateur copiste;2245;;;
2413221421;241;50032214;2;1;1CAP2 32214;1CAP2 PHOTOGRAPHE INDUSTRIES GRAPHIQUES;01/09/1992;31/08/1997;3;0;1;N;0;0;O;O;23210032214;232100322;30/08/1996;BCNSCO6;02;1cap2 photographe industries graphiques;2246;;;
2413221422;241;50032214;2;2;2CAP2 32214;2CAP2 PHOTOGRAPHE INDUSTRIES GRAPHIQUES;01/09/1992;31/08/1998;3;0;1;N;0;0;O;O;23220032214;232200322;11/09/1997;BCNSCO6;02;2cap2 photographe industries graphiques;2247;;;
2423220233;242;50032202;3;3;3CAP3 32202;3CAP3 RELIEUR MAIN (HOMMES);01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23330032202;233300322;27/01/1995;OPS$BCNDEP8;02;3cap3 relieur main (hommes);2248;;;
2423220333;242;50032203;3;3;3CAP3 32203;3CAP3 RELIURE MAIN (FEMMES);01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23330032203;233300322;27/01/1995;OPS$BCNDEP8;02;3cap3 reliure main (femmes);2249;;;
2412260421;241;50022604;2;1;1CAP2 22604;1CAP2 FABRIC.PATES PAPIERS ET CARTONS;01/09/1992;31/08/2005;3;1;;N;;;O;O;23210022604;232100226;18/08/2004;BCNSCO6;02;1cap2 fabric.pates papiers et cartons;2250;;;
2442220122;244;51022201;2;2;TERBEP22201;TERBEP INDUST.CHIMIQ & TRAITMT DES EAUX;01/09/1992;31/08/2002;3;1;;N;;;O;O;23520022201;235200222;17/09/2001;BCNSCO6;02;Terbep indust.chimiq & traitmt des eaux;2251;;;
2442210421;244;51022104;2;1;SECBEP22104;SECBEP ALIMENTATION;01/09/1992;31/08/2009;3;1;;N;;;O;O;23510022104;235100221;20/10/2010;BCNSCO6;02;Secbep alimentation;2252;;;Aurait dû être fermé au 31/08/2010 (Cf arrêté du 07/10/2011 relatif au BEP Boucher-Charcutier qui reporte  la dernière session du BEP Alimentation de 2010 à 2011). Rectification trop tardive pour être prise en compte.
3103360411;310;32033604;1;1;1BTS1 33604;1BTS1  MET. ESTH.COSM.PARF. OPT.B MARQ.;01/09/2014;;3;0;;N;;;N;O;32111033604;321110336;15/06/2020;BCNSCO7;02;1bts1  métiers esthétique-cosmétique-parfumerie opt B formation-marque;10020;;;
