uai;siret;raison_sociale;enseigne;nature;departement;commune;adresse;prepa_apprentissage
0383450U;13002608100237;UNIVERSITE GRENOBLE ALPES;UFR LANGUES ETRANGERES;responsable_formateur;38;Saint-Martin-d'Hères;1381 RUE DES RESIDENCES 38400 SAINT MARTIN D'HERES;
0850136L;34980256100010;SCI LYCEE PRIVE JEANNE D ARC;LYCEE PRIVE JEANNE D'ARC - ISLT;inconnue;85;Montaigu-Vendée;3 B BD RAYMOND PARPAILLON 85600 MONTAIGU-VENDEE;
0597236V;81406052100014;DECASSEL;;responsable_formateur;59;Marquette-lez-Lille;48 RUE DE CASSEL 59520 MARQUETTE-LEZ-LILLE;
0870873B;77567227230709;CROIX ROUGE FRANCAISE;CTRE RGL FORMATION PROF.CONTINUE;responsable_formateur;87;Limoges;25 RUE SISMONDI 87000 LIMOGES;
0440246D;78835315900015;LES  ABEILLES DE SAINT CLAIR;LYCEE PRIVE TECHNIQUE SACRE COEUR;formateur;44;Nantes;3 RUE FRANCIS PORTAIS 44100 NANTES;
0931869B;19931272900023;LYCEE GENERAL TECHNOLOGIQUE G. EIFFEL;GRETA SEINE-SAINT-DENIS;responsable_formateur;93;Gagny;16 CHE DE LA RENARDIERE 93220 GAGNY;
0134422L;40426423600013;CAVALIERS CLUB HIPPIQUE AIX-MARSEIILLE;;responsable_formateur;13;Aix-en-Provence;AV DU CLUB HIPPIQUE 13090 AIX-EN-PROVENCE;
0420065T;19420065500018;LYCEE PROFESSIONNEL DU HAUT FOREZ;LP;formateur;42;Verrières-en-Forez;LE BOURG 42600 VERRIERES-EN-FOREZ;
0333451X;40827328200074;ABSKILL II;ABSKILL;responsable;33;Floirac;122 RUE EMILE COMBES 33270 FLOIRAC;
0161051F;77567227214133;CROIX ROUGE FRANCAISE;INSTITUT DE FORMATION SOINS INFIRMIERS;inconnue;16;La Couronne;MOULIN NEUF 16400 LA COURONNE;
0252018H;83410967000010;FORMAGRAPH DESIGN;FORMAGRAPH DESIGN;responsable_formateur;25;Besançon;1 RUE MADELEINE BRES 25000 BESANCON;
0291542U;77567227233984;CROIX ROUGE FRANCAISE;IRFSS BRETAGNE;formateur;29;Brest;460 RUE JURIEN DE LA GRAVIERE 29200 BREST;
0121503U;34748867800025;ASSOCIATION MILLAVOISE POUR L'INSERTION ET L'ORIENTATION;A.M.I.O.;responsable_formateur;12;Millau;32 AV DE LA REPUBLIQUE 12100 MILLAU;
0501720Y;19501219000029;LYCEE POLYVALENT CURIE-COROT;GRETA COTES NORMANDES;formateur;50;Saint-Lô;377 RUE DE L EXODE 50000 SAINT-LO;
0560119A;77561768100017;OGEC COLLEGE LYCEE STE ANNE;;formateur;56;Sainte-Anne-d'Auray;2 RUE DE LOCMARIA 56400 SAINTE ANNE D'AURAY;
0180571Y;77502017500011;OGEC LTP ST JEAN BAPTISTE DE LA SALLE;;responsable_formateur;18;Bourges;52 AV DE LA LIBERATION 18000 BOURGES;
0831794Z;50027240600025;PERFORMA;;responsable;83;Roquebrune-sur-Argens;9 RUE DES DOUANES 83520 ROQUEBRUNE-SUR-ARGENS;
0030888Z;33382464700015;LYCEE ENSEIG. AGRIC PRIVE CLAUDE MERCIER;;formateur;03;Le Mayet-de-Montagne;RTE DE LAPALISSE 03250 LE MAYET-DE-MONTAGNE;
0950658Z;19950658500017;LYCEE PROFESSIONNEL CHATEAU D'EPLUCHES;;formateur;95;Saint-Ouen-l'Aumône;45 AV DU CHATEAU 95310 SAINT OUEN L'AUMONE;
0031135T;89412528500011;ASSOCIATION PORTE AVENIR FORMATION;APAF;responsable_formateur;03;Le Mayet-de-Montagne;3 RUE DE BUISSON 03250 LE MAYET-DE-MONTAGNE;
0133396W;78288383900014;FONDATION DON BOSCO MARSEILLE;;formateur;13;Marseille;78 RUE STANISLAS TORRENTS 13006 MARSEILLE 6;
0221909F;77746033800026;OGEC SACRE COEUR;;formateur;22;Saint-Brieuc;2 BD ST J BAPTISTE DE LA SALLE 22000 SAINT-BRIEUC;
0160981E;78125345500039;LYCEE ENSEIGNEMENT PROF PRIVE AGRICOLE;LEPPA;inconnue;16;Segonzac;1 RUE MALESTIERS 16130 SEGONZAC;
0540037X;19540037900010;LYCEE PROFESSIONNEL PAUL LAPIE;;inconnue;54;Lunéville;6 AV DU DOCTEUR PAUL KAHN 54300 LUNEVILLE;
0620018H;19620018200018;LYCEE PROFESSIONNEL FERNAND DEGRUGILLIER;;formateur;62;Auchel;1 BD EMILE BASLY 62260 AUCHEL;
0620131F;19620131300018;LYCEE PROFESSIONNEL DES DEUX CAPS;;formateur;62;Marquise;56 RUE PASTEUR 62250 MARQUISE;
0622099V;19622099000010;ETABLISSEMENT REGIONAL D'ENSEIGNEMENT ADAPTE COTE D'OPALE;EREA;formateur;62;Calais;2 RUE DE BITCHE 62100 CALAIS;
0593127D;78363780400015;OGEC LA SAGESSE HAUBOURDIN;;inconnue;59;Haubourdin;49 RUE ALBERT VANDERHAEGHEN 59320 HAUBOURDIN;
0597058B;19594541500048;ECOLE REGIONALE POUR DEFICIENTS VISUELS IGNACE PLEYEL;ERDV;formateur;59;Loos;31 AV PIERRE MAUROY 59120 LOOS;
0590187H;19590187100010;LYCEE PROFESSIONNEL LOUIS LOUCHEUR;;formateur;59;Roubaix;8 BD DE LYON 59100 ROUBAIX;
9710709U;19971709100011;LYCEE REGIONAL GERTY ARCHIMEDE;;inconnue;971;Morne-à-l'Eau;QUARTIER RICHEVAL 97111 MORNE A L'EAU;
0941967C;19940585300011;LYCEE DES METIERS FRANCOIS MANSART;LPO;formateur;94;Saint-Maur-des-Fossés;25 AV DE LA BANQUE 94210 SAINT-MAUR-DES-FOSSES;
0771664R;19770923100017;LYCEE PROFESSIONNEL REG GUE A TRESMES;;formateur;77;Congis-sur-Thérouanne;DOMAINE DU GUE-A-TRESMES 77440 CONGIS-SUR-THEROUANNE;
0772244W;19772244000017;LYCEE POLYVALENT ANTONIN CAREME;LPO;formateur;77;Savigny-le-Temple;1 PL GUSTAVE COURBET 77176 SAVIGNY-LE-TEMPLE;
0641664L;78235516800025;OGEC IMMACULEE CONCEPTION;LYCEE D'ENS PROFESSIONNEL PRIVE;formateur;64;Billère;1 AV DU CHATEAU D ESTE 64140 BILLERE;
0640130U;78235516800017;OGEC IMMACULEE CONCEPTION;;inconnue;64;Pau;BD EDOUARD HERRIOT 64000 PAU;
0332445D;19332445600014;LYCEE ENSEI PROFE ALPHONSE BEAU ROCHAS;;inconnue;33;Bordeaux;RUE JEAN HAMEAU 33300 BORDEAUX;
0132974M;19132974700015;LYCEE REGIONAL HOTELIER JEAN-PAUL PASSEDAT - LYCEE DES METIERS DE L'HOTELLERIE DU TOURISME ET DE L'ALIMENTATION;LPO;formateur;13;Marseille;114 AV ANDRE ZENATTI 13008 MARSEILLE 8;
0130056R;19130056500014;LYCEE PROFESSIONNEL LA FLORIDE - LYCEE DES METIERS DE LA LOGISTIQUE ET DU TRANSPORT ROUTIER;;formateur;13;Marseille;54 BD GAY LUSSAC 13014 MARSEILLE 14;
0130057S;19130057300026;LYCEE PROFESSIONNEL RENE CAILLIE - LYCEE DES METIERS DU BATIMENT DES TRAVAUX PUBLICS ET DE LA TOPOGRAPHIE;LP;formateur;13;Marseille;173 BD DE SAINT LOUP 13011 MARSEILLE 11;
0130049H;19130049000015;LYCEE POLYVALENT DU REMPART;LT;formateur;13;Marseille;1 RUE DU REMPART 13007 MARSEILLE 7;
0134073G;78288383900022;FONDATION DON BOSCO MARSEILLE;LYCEE TECHNOLOGIQUE PRIVE DON BOSCO;inconnue;13;Marseille;78 RUE STANISLAS TORRENTS 13006 MARSEILLE 6;
0820016X;19820016400012;LYCEE GENERAL FRANCOIS MITTERAND;;formateur;82;Moissac;BD DU QUERCY 82200 MOISSAC;
0120038B;19120022900018;LYCEE GENERAL FERDINAND FOCH;;formateur;12;Rodez;1 RUE VIEUSSENS 12000 RODEZ;
0090015T;19090015900012;LYCEE POLYVALENT PYRENE;;formateur;09;Pamiers;2 PL DU MERCADAL 09100 PAMIERS;
0650035K;19650035900019;LYCEE PROFESSIONNEL PIERRE MENDES FRANCE;;formateur;65;Vic-en-Bigorre;RUE DU COLLEGE 65500 VIC-EN-BIGORRE;
0460010L;19460010200017;LYCEE GENERAL ET TECHNOLOGIQUE CHAMPOLLION - LYCEE DES METIERS DE L'INDUSTRIE : PRODUCTIQUE MECANIQUE ELECTRO;LGT CHAMPOLLION;formateur;46;Figeac;13 AV FERNAND PEZET 46100 FIGEAC;
0332291L;26330582300019;CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;SIEGE ADMINISTRATIF;responsable_formateur;33;Talence;12 RUE DUBERNAT 33400 TALENCE;
0121484Y;77555650900013;ENSEIG PROMOT AGRICOL MONTEILS;INSTITUT FRANCOIS MARTY;formateur;12;Villefranche-de-Rouergue;BD DE PENEVAYRE 12200 VILLEFRANCHE-DE-ROUERGUE;
0121292P;77674697600013;ASS FAMILIALE RURALE DE VAXERGUES;;formateur;12;Saint-Affrique;198 AV LUCIEN GALTIER 12400 SAINT-AFFRIQUE;
0501513Y;20000297000024;CENTRE HOSPITALIER PUBLIC DU COTENTIN;CTRE FORMATION SOINS INFIRMIERS;formateur;50;Cherbourg-en-Cotentin;RUE TROTTEBEC 50100 CHERBOURG-EN-COTENTIN;
0132922F;34336336200017;OGEC SAINT JEAN;;formateur;13;Salon-de-Provence;76 AV GEORGES BOREL 13300 SALON-DE-PROVENCE;
0131434N;78288387000019;OGEC DES METIERS;;formateur;13;Marseille;24 RUE DES BONS ENFANTS 13006 MARSEILLE 6;
0133274N;33398524000014;OGEC SAINTE JEANNE D'ARC;;formateur;13;Arles;5 CHE SAINT ROCH 13200 ARLES;
0781819D;19781819800016;LYCEE POLYVALENT EMILIE DE BRETEUIL;;formateur;78;Montigny-le-Bretonneux;3 RUE DU CANAL 78180 MONTIGNY-LE-BRETONNEUX;
0840940R;78320230200015;OGEC SAINT J-B DE LA SALLE;;formateur;84;Avignon;9 RUE NOTRE DAME DES 7 DOULEURS 84000 AVIGNON;
0133395V;30154944000024;OGEC SAINTE MARIE;;formateur;13;Aix-en-Provence;2 RUE DE JOUQUES 13100 AIX-EN-PROVENCE;
0920141D;19920141900017;LYCEE POLYVALENT JOLIOT-CURIE;;formateur;92;Nanterre;92 AV FREDERIC ET IRENE JOLIOT CURIE 92000 NANTERRE;
0782593V;19782593800016;LYCEE PROFESSIONNEL JEAN PERRIN;;formateur;78;Saint-Cyr-l'École;1 RUE LUCIEN SAMPAIX 78210 SAINT CYR L'ECOLE;
0783431F;19782599500016;LYCEE POLYVALENT JULES VERNE;;formateur;78;Sartrouville;2 RUE DE LA CONSTITUANTE 78500 SARTROUVILLE;
0910715H;19910715200019;LYCEE PROFESSIONNEL JEAN PERRIN;;formateur;91;Longjumeau;26 RUE LEONTINE SOHIER 91160 LONGJUMEAU;
0911492C;19911492700015;LYCEE POLYVALENT L'ESSOURIAU;;formateur;91;Les Ulis;AV DE DORDOGNE 91940 LES ULIS;
0870919B;77571672300066;OGEC CHARLES DE FOUCAULD;LYCEE ENS PROF SAINT JEAN;responsable_formateur;87;Limoges;26 RUE EUGENE VARLIN 87000 LIMOGES;
